	score	category_names	prices	isCorrect
343	923	DDR5	430	1
344	1006	DDR5	3100	1
345	1	DDR3	299	1
346	3191	其他	12	1
347	3859	其他	2000	1
348	2	其他CPU	950	1
349	1065	DDR5	500	1
350	4223	DDR3	950	1
351	74	其他	140	1
352	3747	DDR3	450	1
353	5499	其他	34800	1
354	915	DDR5	4990	1
355	5089	DDR3	300	1
356	194	DDR5	130	1
357	770	DDR3	250	1
358	22	其他CPU	1700	1
359	3709	顯示卡	300	1
360	4642	DDR5	220	1
361	4366	DDR3	259	1
362	569	DDR3	300	1
363	4189	其他	200	1
364	1	其他	199	1
365	5110	DDR5	7000	1
366	4080	DDR5	2950	1
367	5595	DDR5	750	1
368	147	其他	800	1
369	1	其他	16	1
370	5060	DDR3	500	1
371	3184	其他散熱裝置	35	1
372	865	轉接線、轉接頭	159	1
373	379	其他	150	1
374	1	DDR3	249	1
375	4231	DDR3	200	1
376	2	DDR5	349	1
377	855	顯示卡	430	1
378	3858	DDR3	500	1
379	4027	DDR5	3899	1
380	3650	其他	20	1
381	207	DDR5	290	1
382	1062	DDR5	800	1
383	4064	DDR5	350	1
384	731	其他	500	1
385	7	DDR5	1100	1
386	420	PCIE介面	2500	1
387	1979	顯示卡	6000	1
388	4155	其他	12500	1
389	56	其他	100	1
390	4530	其他	250	1
391	18	DDR5	500	1
392	1289	其他	200	1
393	3754	DDR5	250	1
394	101	DDR5	80	1
395	4012	PCIE介面	2799	1
396	426	DDR5	480	1
397	3883	顯示卡	12000	1
398	2	DDR3	400	1
399	39	其他電腦周邊設備	5000	1
400	3913	DDR3	1000	1
401	57	DDR3	700	1
402	232	其他	1150	1
403	1046	PCIE介面	33500	1
404	7	顯示卡	399	1
405	1	PCI介面	1	1
406	1095	DDR5	16500	1
407	96	顯示卡	4280	1
408	819	顯示卡	47990	1
409	3356	其他	500	1
410	2295	DDR5	3050	1
411	2	DDR3	2000	1
412	319	轉接線、轉接頭	35	1
413	21	14吋	6800	1
414	2023	DDR3	300	1
415	1572	DDR5	400	1
416	7	其他	145	1
417	5360	DDR5	600	1
418	819	DDR5	899	1
419	859	DDR5	350	1
420	4682	DDR5	490	1
421	3080	AGP介面	100	1
422	5661	DDR5	550	1
423	3068	DDR5	300	1
424	3125	DDR5	14700	1
425	974	DDR5	1050	1
426	4436	DDR5	450	1
427	3716	DDR5	1300	1
428	546	DDR3	380	1
429	3209	DDR3	800	1
430	3075	DDR5	1000	1
431	924	DDR5	620	1
432	4169	DDR3	220	1
433	1	DIY 電競	16320	1
434	678	PCIE介面	44000	1
435	9	顯示卡	299	1
436	3884	DDR5	3000	1
437	1	DDR5	5000	1
438	4050	DDR3	499	1
439	514	DDR3	700	1
440	5566	其他	500	1
441	235	DDR5	450	1
442	3155	附件及改裝品	2400	1
443	69	散熱片、導管	89	1
444	17	其他	65	1
445	1	其他電腦周邊設備	5	1
446	4130	其他	150	1
447	3127	DDR3	1188	1
448	5043	DDR5	30990	1
449	5167	DDR5	3650	1
450	908	AGP介面	500	1
451	1088	DDR5	500	1
452	3	其他	100	1
453	636	DDR5	680	1
454	1211	其他	2000	1
455	465	DDR5	1580	1
456	152	其他	50	1
457	722	DDR5	599	1
458	1925	DDR5	1500	1
459	13	DDR5	100	1
460	735	DDR3	400	1
461	3935	DDR5	2200	1
462	2004	DDR3	240	1
463	4781	其他	300	1
464	5744	DDR5	700	1
465	5115	DDR3	450	1
466	949	DDR3	200	1
467	3949	DDR3	230	1
468	3185	其他	25900	1
469	765	DDR5	260	1
470	3204	DDR5	800	1
471	921	DDR3	320	1
472	4922	其他	1250	1
473	4340	AGP介面	1200	1
474	5283	DDR5	250	1
475	3975	PCIE介面	4540	1
476	4253	DDR5	4999	1
477	3753	DDR5	480	1
478	1	DDR3	699	1
479	90	其他筆電周邊	1050	1
480	3192	PCI介面	300	1
481	3156	其他	50	1
482	6	DDR5	700	1
483	78	其他電腦周邊設備	70	1
484	1	其他CPU 主機板	4500	1
485	876	DDR3	900	1
486	4266	其他	10000	1
487	899	顯示卡	200	1
488	122	其他廠牌	20	1
489	5219	DDR5	900	1
490	5383	DDR5	330	1
491	406	DDR5	340	1
492	1196	DDR3	330	1
493	725	DDR5	800	1
494	3970	DDR3	300	1
495	1467	DDR5	2700	1
496	3059	顯示卡	150	1
497	18	DDR5	1100	1
498	319	DDR5	5700	1
499	2	DDR5	80	1
500	6070	DDR5	400	1
501	4237	DDR5	700	1
502	919	DDR5	1499	1
503	758	其他	1700	1
504	843	其他	4500	1
505	598	AGP介面	170	1
506	1122	DDR3	140	1
507	1000	DDR3	290	1
508	4322	DDR5	1800	1
509	3191	其他手動工具	12	1
510	5362	DDR5	3559	1
511	3133	其他	1100	1
512	1660	其他	350	1
513	239	其他電腦周邊設備	99999	1
514	4813	其他	14990	1
515	670	DDR3	450	1
516	3154	DDR5	99	1
517	3929	DDR3	200	1
518	23	DDR3	280	1
519	159	DDR3	140	1
520	146	其他	170	1
521	3992	DDR3	310	1
522	31	DDR5	400	1
523	4041	其他	18000	1
524	3868	DDR3	250	1
525	5250	DDR3	5100	1
526	951	其他	7800	1
527	4445	DDR5	550	1
528	3847	DDR3	499	1
529	3145	PCIE介面	9999999	1
530	1554	DDR5	500	1
531	1010	DDR3	430	1
532	3934	DDR3	499	1
533	3905	PCIE介面	27500	1
534	5489	DDR3	600	1
535	860	DDR5	350	1
536	4235	DDR5	1800	1
537	202	DDR3	490	1
538	204	DDR5	2200	1
539	1888	DDR3	290	1
540	4126	DDR5	7000	1
541	805	DDR3	220	1
542	3391	轉接線、轉接頭	28	1
543	3179	風扇式	200	1
544	2393	DDR5	890	1
545	163	USB線	249	1
546	851	DDR3	400	1
547	2075	DDR5	1190	1
548	3	其他	200	1
549	363	DDR5	600	1
550	2243	DDR3	290	1
551	4620	其他	750	1
552	3705	DDR5	400	1
553	5467	DDR5	3900	1
554	1	DDR3	249	1
555	3892	其他	43000	1
556	931	DDR5	1490	1
557	4433	DDR5	800	1
558	938	DDR3	700	1
559	1634	DDR3	450	1
560	1	DDR3	499	1
561	3090	AGP介面	180	1
562	3756	DDR5	1690	1
563	3102	DDR5	600	1
564	914	DDR5	1250	1
565	430	DDR5	300	1
566	3783	DDR3	688	1
567	304	轉接線、轉接頭	330	1
568	3857	顯示卡	195	1
569	3287	轉接線、轉接頭	95	1
570	2761	DDR5	1090	1
571	4764	其他	250	1
572	3806	DDR5	4000	1
573	368	DDR5	800	1
574	37	DDR5	590	1
575	4	DDR5	600	1
576	13	其他	200	1
577	246	顯示卡	1895	1
578	3883	DDR5	25500	1
579	5238	DDR5	350	1
580	501	DDR3	400	1
581	224	DDR5	140	1
582	3383	其他	35900	1
583	4638	DDR3	250	1
584	751	DDR5	550	1
585	407	DDR5	600	1
586	5444	其他	17990	1
587	1569	DDR3	300	1
588	5684	DDR5	10000	1
589	874	DDR3	350	1
590	899	DDR5	12000	1
591	682	DDR5	300	1
592	3969	顯示卡	145	1
593	849	DDR5	450	1
594	1270	DDR3	300	1
595	5572	DDR5	16500	1
596	3079	HDMI線	10	1
597	3119	散熱片、導管	33	1
598	3867	其他	700	1
599	3674	其他	30	1
600	4905	顯示卡	7990	1
601	5259	顯示卡	17500	1
602	74	DDR5	600	1
603	273	DDR5	550	1
604	13	顯示卡	6500	1
605	467	其他	80	1
606	2	DDR5	500	1
607	3857	DDR5	620	1
608	716	DDR5	750	1
609	4085	DDR5	850	1
610	4014	其他	450	1
611	4288	DDR5	4950	1
612	4158	其他	25000	1
613	1282	DDR3	250	1
614	3768	DDR5	2750	1
615	403	DDR3	200	1
616	3814	其他	400	1
617	4090	其他	400	1
618	5969	DDR5	11390	1
619	4570	PCI介面	1900	1
620	5588	其他	330	1
621	1628	DDR3	777	1
622	3979	其他	2000	1
623	4422	DDR3	250	1
624	32	其他	390	1
625	5838	DDR5	2450	1
626	3598	DDR5	170	1
627	12	AGP介面	500	1
628	4701	其他	55000	1
629	37	DDR5	200	1
630	5399	其他	150	1
631	207	DDR5	450	1
632	475	DDR3	90	1
633	1585	DDR5	490	1
634	1387	DDR3	250	1
635	4241	其他	600	1
636	3839	PCIE介面	150	1
637	3126	其他	25900	1
638	924	DDR5	1800	1
639	3	DDR3	100	1
640	53	其他	12000	1
641	4	DDR5	100	1
642	63	顯示卡	14990	1
643	1446	顯示卡	4150	1
644	19	DDR5	620	1
645	4790	DDR5	5200	1
646	2291	其他	250	1
647	545	DDR3	500	1
648	3	DDR5	3000	1
649	3758	DDR3	160	1
650	218	DDR5	850	1
651	3224	DDR5	2000	1
652	56	DDR5	600	1
653	4624	DDR5	250	1
654	1	HDMI線	299	1
655	2	其他	700	1
656	4031	DDR5	3000	1
657	4110	AGP介面	300	1
658	44	顯示卡	90	1
659	3131	DDR5	2999	1
660	4700	PCIE介面	4490	1
661	2276	DDR5	390	1
662	5204	DDR5	1050	1
663	455	其他	25990	1
664	14	其他	6200	1
665	1915	DDR3	390	1
666	124	電腦零組件	58	1
667	233	AGP介面	150	1
668	4140	DDR3	185	1
669	16	其他	29900	1
670	30	DDR3	300	1
671	4	DDR5	80	1
672	4069	DDR5	4800	1
673	3699	DDR3	190	1
674	364	DDR3	300	1
675	3564	DDR3	450	1
676	938	DDR3	300	1
677	4120	DDR5	1000	1
678	3943	DDR3	650	1
679	3581	DDR5	900	1
680	655	DDR5	500	1
681	437	DDR5	3000	1
682	3203	其他品牌	20	1
683	6	風扇式	20	1
684	36	其他	2890	1
685	3052	DDR3	590	1
686	6113	DDR5	1690	1
687	3140	DDR3	450	1
688	1	其他	500	1
689	616	DDR5	1	1
690	1628	其他	140	1
691	3143	AGP介面	600	1
692	906	DDR5	38590	1
693	3829	DDR3	500	1
694	82	AGP介面	350	1
695	10	DDR3	120	1
696	4097	PCIE介面	200	1
697	30	DDR3	280	1
698	3756	DDR5	530	1
699	3875	Xeon 伺服器	3000	1
700	307	DDR3	150	1
701	632	DDR3	400	1
702	1	DDR3	199	1
703	822	顯示卡	17100	1
704	1005	DDR5	680	1
705	5276	DDR5	750	1
706	3743	DDR3	200	1
707	4	其他電腦周邊設備	737	1
708	3815	其他	500	1
709	669	顯示卡	8000	1
710	4199	DDR5	2000	1
711	218	其他	98	1
712	3291	其他	10	1
713	3131	AGP介面	2980	1
714	3155	其他散熱裝置	10	1
715	3	DDR3	249	1
716	4550	DDR5	500	1
717	339	DDR5	400	1
718	3183	DDR5	2499	1
719	4503	DDR3	600	1
720	22	DDR5	1280	1
721	37	其他	280	1
722	3053	其他	5990	1
723	4728	DDR5	1850	1
724	4717	DDR3	600	1
725	3934	DDR5	550	1
726	830	DDR3	450	1
727	73	其他	100	1
728	5479	PCIE介面	39990	1
729	3677	DDR5	19000	1
730	3294	其他	19500	1
731	3065	其他	3750	1
732	3	其他	90	1
733	1	顯示卡	3000	1
734	2	DDR3	250	1
735	6	介面卡	120	1
736	4792	DDR3	500	1
737	907	DDR5	1500	1
738	3754	DDR5	580	1
739	990	其他	150	1
740	5	其他	5000	1
741	5068	其他	600	1
742	3270	DDR5	7400	1
743	4197	其他	400	1
744	1011	DDR5	550	1
745	543	引擎、機體零件 	15800	1
746	4064	其他	880	1
747	41	電腦椅	991400	1
748	1066	轉接線、轉接頭	60	1
749	4470	其他	160	1
750	3441	轉接線、轉接頭	10	1
751	10	顯示卡	1700	1
752	4285	DDR5	6000	1
753	3784	DDR3	350	1
754	1392	DDR5	4188	1
755	842	DDR5	730	1
756	3867	DDR3	240	1
757	3670	DDR5	6800	1
758	4702	其他	18500	1
759	918	DDR5	899	1
760	750	DDR3	200	1
761	1633	DDR3	270	1
762	536	DDR5	680	1
763	4034	DDR3	300	1
764	770	顯示卡	13000	1
765	3930	DDR3	360	1
766	102	其他	149	1
767	2266	DDR5	340	1
768	249	DDR3	750	1
769	209	DDR5	2500	1
770	923	DDR5	650	1
771	4236	DDR3	250	1
772	917	DDR5	750	1
773	3466	其他	2000	1
774	735	DDR3	410	1
775	202	風扇式	208	1
776	3225	其他	3800	1
777	3777	DDR5	1700	1
778	4362	DDR5	4500	1
779	4700	DDR3	400	1
780	3943	DDR3	650	1
781	132	DDR5	2500	1
782	3101	DDR3	180	1
783	91	其他	100	1
784	33	DDR3	190	1
785	3767	DDR5	2000	1
786	3859	DDR3	350	1
787	320	其他	25	1
788	3921	PCI介面	300	1
789	3	其他	650	1
790	4093	DDR3	310	1
791	474	顯示卡	560	1
792	24	其他	49	1
793	4719	其他	450	1
794	4194	DDR3	1000	1
795	3099	DDR3	200	1
796	4397	介面卡	450	1
797	3106	15吋	1200	1
798	3752	DDR3	150	1
799	3073	DDR5	1000	1
800	35	顯示卡	1500	1
801	719	其他電腦周邊設備	7500	1
802	4543	PCIE介面	220	1
803	1	顯示卡	5000	1
804	4518	其他	13500	1
805	3155	DDR5	450	1
806	3659	DDR3	220	1
807	151	其他	120	1
808	3325	DDR3	350	1
809	1	其他	90	1
810	1557	DDR5	400	1
811	242	DDR5	3570	1
812	411	其他	17500	1
813	4004	其他	600	1
814	3855	DDR5	880	1
815	3756	PCIE介面	250	1
816	3807	DDR5	1800	1
817	3885	DDR3	550	1
818	31	附件及改裝品	790	1
819	3749	附件及改裝品	5	1
820	33	其他散熱裝置	10	1
821	473	AGP介面	450	1
822	3	其他	15	1
823	4523	DDR3	265	1
824	3109	其他	150	1
825	3151	工業自動化	25000	1
826	3169	DDR3	688	1
827	4495	顯示卡	295	1
828	6	DDR3	480	1
829	362	其他	23990	1
830	4908	DDR3	180	1
831	1430	其他散熱裝置	3500	1
832	5167	DDR5	4390	1
833	3826	其他	450	1
834	3078	DDR5	4499	1
835	5461	顯示卡	19900	1
836	4075	其他	700	1
837	3855	AGP介面	190	1
838	4516	其他	7800	1
839	3581	顯示卡	2800	1
840	250	DDR3	249	1
841	5001	其他	1000	1
842	2	其他	52000	1
843	4008	DDR5	520	1
844	4814	DDR5	2000	1
845	10	其他	100	1
846	1875	DDR5	700	1
847	437	DDR5	250	1
848	3643	DDR5	800	1
849	4645	DDR3	300	1
850	5	顯示卡	3560	1
851	4308	顯示卡	265	1
852	490	DDR3	700	1
853	1675	DDR5	1200	1
854	167	其他廠牌	600	1
855	5	其他	290	1
856	3831	轉接線、轉接頭	10	1
857	1804	DDR3	250	1
858	3775	DDR3	799	1
859	3935	DDR5	6450	1
860	4282	PCIE介面	1850	1
861	921	DDR3	320	1
862	4063	DDR5	750	1
863	4774	DDR3	700	1
864	14	DDR3	340	1
865	40	DDR3	210	1
866	3090	DDR5	900	1
867	23	DDR3	280	1
868	217	顯示卡	39000	1
869	839	Intel CPU 主機板	7000	1
870	3772	其他	1600	1
871	4244	其他	18888	1
872	2122	DDR3	390	1
873	312	DDR3	100	1
874	3041	DDR5	1200	1
875	1483	DDR5	600	1
876	538	DDR3	250	1
877	3051	PCI介面	980	1
878	3771	DDR5	650	1
879	7	其他	400	1
880	3965	其他	15500	1
881	5197	DDR5	28999	1
882	2062	顯示卡	10000	1
883	1275	DDR3	350	1
884	1331	DDR3	350	1
885	1037	DDR5	290	1
886	4520	DDR5	2799	1
887	1	DDR5	599	1
888	2441	其他	56000	1
889	29	DDR5	650	1
890	3041	DDR5	750	1
891	4242	其他	550	1
892	3160	DDR3	499	1
893	776	其他CPU	150	1
894	1054	轉接線、轉接頭	50	1
895	8	其他電腦周邊設備	138	1
896	3495	其他	3599	1
897	5050	DDR5	6090	1
898	717	DDR3	180	1
899	4113	DDR3	450	1
900	4069	其他	4888	1
901	379	DDR5	500	1
902	3089	風扇式	100	1
903	3136	DDR5	450	1
904	3041	其他電腦周邊設備	30000	1
905	6125	DDR5	10	1
906	3256	其他	450	1
907	1033	其他	3500	1
908	1560	DDR5	2090	1
909	4041	其他	3300	1
910	5	顯示卡	20000	1
911	3248	DDR3	399	1
912	5689	顯示卡	1700	1
913	3761	DDR5	840	1
914	4919	其他	400	1
915	5443	DDR5	950	1
916	4887	DDR5	5600	1
917	726	DDR5	3500	1
918	445	其他	4400	1
919	4374	其他	19000	1
920	20	轉接線、轉接頭	30	1
921	1552	顯示卡	365	1
922	4703	其他	6990	1
923	4820	其他	11900	1
924	724	其他	600	1
925	134	電腦零組件	299	1
926	1065	DDR5	450	1
927	3769	DDR5	150	1
928	908	DDR5	500	1
929	115	DDR5	2690	1
930	233	DDR3	150	1
931	1983	DDR5	650	1
932	75	DDR5	1580	1
933	3767	DDR5	1500	1
934	4206	DDR5	800	1
935	4275	DDR5	850	1
936	262	其他系列CPU	4200	1
937	1546	DDR5	1100	1
938	9	其他	100	1
939	1369	DDR3	380	1
940	56	DDR3	160	1
941	4052	DDR5	9100	1
942	1883	DDR3	500	1
943	800	DDR3	220	1
944	3698	其他	1500	1
945	1357	顯示卡	15500	1
946	1536	其他	60000	1
947	1347	DDR5	899	1
948	3934	DDR3	400	1
949	2	DDR5	2000	1
950	1	DDR3	249	1
951	1	DDR5	4000	1
952	4703	其他	19500	1
953	4955	DDR5	11500	1
954	2135	其他	17880	1
955	4964	DDR5	2000	1
956	3183	DDR5	1500	1
957	17	其他	500	1
958	1242	華碩	1080	1
959	3213	附件及改裝品	5	1
960	183	接線端子	60	1
961	3052	顯示卡	50	1
962	21	轉接線、轉接頭	130	1
963	232	DDR5	2890	1
964	3044	AGP介面	150	1
965	3106	清潔用品	10	1
966	4730	其他	6800	1
967	227	其他	249	1
968	3773	DDR5	620	1
969	4725	顯示卡	240	1
970	3124	其他	18990	1
971	3838	DDR5	500	1
972	4366	DDR5	750	1
973	3	其他電腦周邊設備	2340	1
974	744	顯示卡	43000	1
975	355	顯示卡	1600	1
976	230	DDR3	260	1
977	3201	其他系列CPU	10190	1
978	5115	DDR3	350	1
979	3278	DDR5	8499	1
980	4231	DDR5	9000	1
981	6206	DDR5	2000	1
982	1	DDR3	250	1
983	32	DDR5	599	1
984	878	顯示卡	600	1
985	4052	其他	250	1
986	6	DDR5	295	1
987	191	顯示卡	17800	1
988	5714	PCI介面	11000	1
989	112	DDR5	2590	1
990	1	顯示卡	14400	1
991	4838	其他	400	1
992	5035	其他品牌電腦	25000	1
993	4857	顯示卡	2000	1
994	4	其他	186	1
995	8	轉接線、轉接頭	15	1
996	1	DDR5	999	1
