	names	category_names	prices	notCorrect
201	燒毀二手的木人偶購買條件:自己要用	其他	10	0
202	單車元素零碼特價出清LAZERBLADEAF安全帽消光藍M5559cm亞洲頭型	安全帽	2500	0
203	萬隆達﹡CSOC-JP05518TP-JP111具現化	遊戲王	5	0
204	滿199免運貼片電感470UH標471功率電感磁遮罩電感121275只包E7A3188-06702	其他	29	0
205	愛麗絲卡舖DE03-JP084爆裂獸普卡	遊戲王	95	0
206	灰流卡套	遊戲王	550	0
207	西裝外套1612吋人偶用	服裝	140	0
208	iCshop13號4個電池盒輸出6V3680905000090BatteryBox,附引線,AA,4節	其它	14	0
209	雲品二馬紹爾群島MarshallIsland1985ScC1-2Bird鳥禽setMNH庫號B52957829	紐澳郵票	36	0
210	今日小舖PAC1-jp036形式傳送白鑽	遊戲王	1200	0
211	早期糕模糕印粿印餅印餅模1限會員qq1699下標八角型7個圖案長約483CM懷舊擺飾	雕刻藝術	750	0
212	ALG卡牌專門C18指揮官禮盒2018WildGrowth野地叢生英文	魔法風雲會	30	0
213	鹿角蕨三角交象耳蝙蝠俠寬葉銀毛	花苗、樹苗	235	0
214	今夏爆款蚊帳18m15米床家用免安裝1220床幔圓吊頂加密厚加大雙人	其他家庭雜貨 	1980	0
215	SONYEC801803原廠傳輸線充電線USBHTCSAMSUNGSONYLG└┬┐429號	SONY XPERIA	75	0
216	美兒小舖COSTCO好市多代購∼KIRKLAND零脂希臘式優格907gx2罐	其他	10	0
217	Powerstar動力星WEGLOCKG18C75號零件	其他合法改裝套件	60	0
218	WooF防水貼紙潮流貼紙裸女花木蘭個性貼紙美式貼紙行李箱貼紙安全帽貼紙惡搞貼紙車貼滑板PVC	貼紙 	20	0
219	萬吉號跳水>AfvclubWQT001Q版二戰德軍4號戰車D型	軍事車輛	199	0
220	現貨未組裝PB限定RG1144獨角獸3號機鳳凰	1:144	4300	0
221	JenniferLopez珍妮佛洛佩茲愛嗎紙盒精裝580700009374再生工場02	女歌手	198	0
222	新自強cardfightVanguardVG卡片戰鬥先導者單卡:BT10023R寶石騎士布理茲米15元	其他紙牌遊戲	15	0
223	就是愛玩玩具代理版景品SEGASPM鬼滅之刃無限列車猗窩座上弦三現貨供應	日本景品	399	0
224	掛著賣書舖緣起不滅張曼娟皇冠叢書微泛黃	其他	15	0
225	小膜女粉紅燈膜300一卷改色燈膜燈殼保護膜卡夢貼膜犀牛皮透明膜歐規橘燻黑淺黑深黑大燈	汽車百貨	5	0
226	麥可倉庫機車精品日本原裝TANAX鯊魚照後鏡AOS4款保證真品後視鏡後照鏡kosomagazi	後照鏡	5500	0
227	＊卡比戰士＊BANDAI模型RG221144MSN-06S新安洲SINANJU	其他塑膠模型	870	0
228	EMC1:18118原廠VolvoXC60RechargeSUV2022金屬模型車	1:18	2000	0
229	APPSTOREA30DS14-JPM36貪欲之壺金亮	遊戲王	199	0
230	逛逛賣場遊戲王SR11-JP023妖醒龍幼生獄風神普卡	遊戲王	5	0
231	韓劇秘密花園／韓版精裝電視原聲帶2CD全新品炫彬／玄彬愛的迫降、河智苑醫療船、ost	電影、電視配樂	2980	0
232	布藝棉麻桌布小清新風北歐簡約純色長方形茶幾桌布餐桌布zh2868	其他燈具	672	0
233	J-buy日本製TOTOTCF4833AKSx2TBV03415Jx2forJamesliao1076	其他	100	0
234	SUBARUOUTBACK改裝保險杠15-18款傲虎專用前後杠下護板改裝防撞防刮護杠	其他汽車百貨	2250	0
235	Electricshock脈衝電擊超快感按摩貼	其他	243	0
236	Z1SC小舖>遊戲王CROS-JP088炎王的孤島普卡90分	遊戲王	40	0
237	X46Z素體館白人款16雙球狀腳踝插銷一對大小球	其他	100	0
238	二手裸片CD朱宗慶打擊樂團附設學校專修班12有聲教材G48>	古典音樂	50	0
239	強力磁鐵便利店強力磁鐵-直徑8厚度15mm	磁鐵	5	0
240	璐璐平價鋪x03016;電競遊戲耳機x03017;藍芽耳機倍客維游戲藍芽耳機無線電競低延遲超長待機續航安卓蘋果華為專用	無線耳機	1798	0
241	代理版一番賞五等分的花嫁五等分的新娘x0222c;BrideStyleD賞中野四葉公仔	其他	1250	0
242	開立發票電熱水壺家用熱水壺304不銹鋼2200W自動斷電17L大容量高硼砂玻璃開水壺燒茶水器110V	其他家庭雜貨 	799	0
243	有劃記請先確認生命的尊嚴：透析哈萊姆東區的快克買賣第二版菲利普？布儒瓦北京大學出版社	社會學	120	0
244	新自強2寶可夢PTCG中文版AS6a184196混沌之潮漩U	紙牌週邊	230	0
245	死亡擱淺珍藏版全新未拆BBDeathStrandingPS4死亡之絆	動作冒險	5990	0
246	Fitek健身網10KG電鍍槓片2片x02728;10公斤槓鈴片2個x02728;暑期特價x02728;舉重重量訓練重訓x02728;運動健身電鍍片	啞鈴、舉重槓片	1760	0
247	清潔軟膠車內裝飾粘多功能除塵泥車載神器汽車用品大全內飾黑科技	其他汽車精品	160	0
248	滿300發貨雨傘ins口袋傘晴雨兩用黑膠五折傘自動防紫外線韓版日系木柄碎花雨傘	其他	242	0
249	現貨限時性感低腰蕾絲內褲女冰絲一片式無痕內褲透氣純棉襠大尺碼三角褲舒適無痕丁字低腰三角褲	其他內褲	116	0
250	B-智子x05416;！惠普HPZBookStudio15G5G6散熱風扇L30894-001L30895-001	風扇式	900	0
251	現貨滿180元發貨小4pin轉SATA公頭電源線SATA轉軟驅4P母轉15P公SATA轉小4Pin電露天	其他	49	0
252	維修佬高活性助焊膏免洗銲接維修手機電腦電子元件環保儀器銲接	其他	730	0
253	代購｜同人誌2021九龍怪案｜-451-｜刀劍亂舞｜三日鶴｜小說｜簡體中文｜預購非現貨	代買、海外代購	530	0
254	火車軌道配件R-10圓形軌PLARAIL鐵道王國55190	其他比例	159	0
255	滿199免運尖嘴鉗帶彈簧鉗子玉佳電子E3B1188-05240	其他	55	0
256	圓夢補給站臺灣製15pc-螺旋式凸軸防脫六角頭螺絲破壞拆螺組防脫套筒反牙螺絲攻	其他五金工具	850	0
257	益成自動>4P30A引掛式橡膠中間插頭480VLK8434B	電子電工工具	1177	0
